i,ind,time_diff,refocus_time
0,68,0.16127896308898926,1699334820.3185933
1,23,0.019335031509399414,1699334985.6739721
2,54,0.11945343017578125,1699335118.7452927
3,12,-0.009886503219604492,1699335172.6914918
4,31,0.05103802680969238,1699335337.050485
5,21,0.019817352294921875,1699335454.6912906
6,13,-0.0019769668579101562,1699335604.2494211
7,56,0.11118412017822266,1699335708.4798043
8,11,0.007137775421142578,1699335834.840636
9,11,0.005989551544189453,1699335904.3232288
10,75,0.17461371421813965,1699336112.359644
11,94,0.22572875022888184,1699336238.259389
12,28,0.01166224479675293,1699336442.7174935
13,68,0.1450977325439453,1699336993.272652
14,17,0.026750802993774414,1699337049.737382
15,11,0.02835869789123535,1699337212.437484
16,24,0.03466320037841797,1699337260.7047565
17,21,0.03585672378540039,1699337408.6141849
18,60,0.11557579040527344,1699337455.064711
19,26,-0.007996797561645508,1699337559.3850083
20,15,-0.0008864402770996094,1699337634.9810207
21,15,-0.010465860366821289,1699337753.8425825
22,40,0.08933496475219727,1699337845.5219293
23,22,0.01880359649658203,1699338060.0449688
24,25,0.048218727111816406,1699338102.1210248
25,15,0.031247615814208984,1699338246.596226
26,54,0.0896291732788086,1699338346.4835813
27,65,0.11735105514526367,1699338434.0206482
28,46,0.09222722053527832,1699338472.4443974
29,34,0.02712726593017578,1699338578.1314454
30,77,0.179640531539917,1699338633.9200525
31,38,0.05222272872924805,1699338742.0527408
32,34,0.0886392593383789,1699338808.9567626
33,44,0.0010943412780761719,1699338899.1020296
34,34,0.07626748085021973,1699338978.1463897
35,34,0.06532812118530273,1699339067.4593112
36,16,-0.010146856307983398,1699339105.0332065
37,36,0.07173585891723633,1699339200.219721
38,37,0.09263849258422852,1699339240.2852628
39,29,0.04779195785522461,1699339306.526563
40,64,0.15227437019348145,1699339354.3832357
41,30,0.030161380767822266,1699339428.5786533
42,21,0.06354403495788574,1699339466.041244
43,14,0.02649521827697754,1699339526.8750975
44,12,0.030769824981689453,1699339567.5450518
45,94,0.19555234909057617,1699339719.1034315
46,56,0.12447738647460938,1699339775.7971387
47,16,0.03531932830810547,1699339865.8313456
48,18,0.01178288459777832,1699339908.181097
49,24,0.014918804168701172,1699339978.2833757
50,5,-0.029323101043701172,1699342115.6252441
51,47,0.08003902435302734,1699342172.6084113
52,20,0.0373530387878418,1699342261.9648063
53,75,0.1468369960784912,1699342303.0306983
54,26,0.06979084014892578,1699342466.160641
55,54,0.12818431854248047,1699342527.7081575
56,40,0.08631634712219238,1699342651.4429135
57,21,-0.011827707290649414,1699342742.7789512
58,46,0.11478424072265625,1699342800.2513804
59,34,0.05910086631774902,1699342866.2997172
60,59,0.08529806137084961,1699342937.8082733
61,12,0.038316965103149414,1699342975.7013903
62,18,0.005968332290649414,1699343051.5855775
63,73,0.16492986679077148,1699343087.2861252
64,20,0.010686635971069336,1699343151.017403
65,14,-0.003420591354370117,1699343203.5882885
66,17,-0.015423059463500977,1699343260.6675742
67,8,-0.03212404251098633,1699343305.0960262
68,11,-0.01098489761352539,1699343376.7091115
69,19,-0.002228975296020508,1699343418.763945
70,14,0.021759033203125,1699343501.6088543
71,42,0.08037281036376953,1699343616.504888
72,28,0.034913063049316406,1699343718.9015772
73,1,-0.03393697738647461,1699343792.8227632
74,29,0.044172048568725586,1699343876.7034252
75,22,0.017136096954345703,1699343980.7209294
76,24,0.031196117401123047,1699344172.1792853
77,73,0.14803028106689453,1699344244.5785475
78,13,-0.029046297073364258,1699344308.398131
79,52,0.1654367446899414,1699344345.914913
80,15,0.014731168746948242,1699344424.2973013
81,34,0.02816295623779297,1699344465.5578709
82,17,0.01141667366027832,1699344617.5559018
83,26,0.056276559829711914,1699344673.3479948
84,43,0.07257437705993652,1699344743.4658315
85,45,0.038059234619140625,1699344797.7975862
86,19,-0.0030999183654785156,1699344878.760716
87,14,0.025305509567260742,1699344969.8229878
88,94,0.10625290870666504,1699345011.695624
89,8,-0.00538325309753418,1699345093.7506278
90,56,0.060976505279541016,1699345135.1731477
91,36,0.03401041030883789,1699345224.0728283
92,48,0.06868433952331543,1699345302.2040815
93,41,0.03067469596862793,1699345374.303135
94,19,-0.012193679809570312,1699345413.2905974
95,3,-0.0709075927734375,1699345471.8137195
96,4,-0.05350756645202637,1699345521.4003665
97,19,0.03657174110412598,1699345603.185215
98,39,0.0740056037902832,1699345662.6028616
99,18,0.05213046073913574,1699345755.7943316
100,22,-0.03080606460571289,1699347922.641966
101,36,0.04447174072265625,1699348022.037442
102,57,0.07496047019958496,1699348070.3288975
103,75,0.17621183395385742,1699348138.678151
104,1,-0.048165082931518555,1699348187.5505872
105,23,0.04076790809631348,1699348280.6358051
106,11,-0.028041601181030273,1699348325.3392167
107,54,0.06925177574157715,1699348394.738969
108,9,-0.016002893447875977,1699348447.2029302
109,25,0.01389622688293457,1699348573.6998224
110,72,0.18704605102539062,1699348610.2867432
111,31,0.05314135551452637,1699348692.6789436
112,22,0.030677080154418945,1699348789.1779902
113,6,-0.04057765007019043,1699348878.5415926
114,13,-0.009580850601196289,1699349246.5247142
115,caution! should try up 0.7!,0.2226109504699707,1699349305.3024023
